track_name,artist_names,danceability,energy,key,mode,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration
AP - Music from the film Boogie,Pop Smoke,0.7509999999999999,0.7440000000000001,1.0,1.0,-6.859,0.177,0.152,0.0005679999999999999,0.252,0.634,148.014,171892.0
ARE YOU WITH THAT?,Vince Staples,0.8590000000000001,0.423,1.0,0.0,-10.698,0.28300000000000003,0.5429999999999999,0.0,0.10400000000000001,0.563,125.89,138410.0
AYAYAY!,Christian Nodal,0.6679999999999999,0.636,2.0,1.0,-3.8160000000000003,0.0301,0.479,0.0,0.141,0.736,147.88299999999995,131240.0
About Damn Time,Lizzo,0.836,0.743,10.0,0.0,-6.305,0.0656,0.0995,0.0,0.335,0.722,108.96600000000001,191822.0
Abrazado a Ti,Kevin Kaarl,0.8029999999999999,0.34700000000000003,2.0,1.0,-9.671,0.0319,0.282,0.0,0.109,0.34600000000000003,105.03299999999999,215481.0
Acapulco,Jason Derulo,0.774,0.792,10.0,1.0,-4.021,0.0523,0.051,0.0,0.155,0.507,122.06200000000001,139672.0
Acá Entre Nos,Vicente Fernández,0.41,0.33399999999999996,0.0,1.0,-6.662000000000001,0.0621,0.529,0.0,0.13699999999999998,0.47,86.086,195373.0
Adderall (Corvette Corvette) [feat. Lil Uzi Vert] - Remix,"Popp Hunna, Lil Uzi Vert",0.9209999999999999,0.718,4.0,0.0,-3.545,0.299,0.217,0.0,0.18899999999999997,0.677,141.06,176383.0
Además de Mí - Remix,"Rusherking, KHEA, Duki, Maria Becerra, LIT killah, Tiago PZK",0.397,0.613,6.0,1.0,-5.077,0.0549,0.0396,0.0,0.192,0.405,78.4,330040.0
Adiós Amor,Christian Nodal,0.433,0.431,2.0,1.0,-6.4220000000000015,0.0367,0.16899999999999998,0.0,0.307,0.722,177.732,199320.0
Adore You,Harry Styles,0.6759999999999999,0.7709999999999999,8.0,1.0,-3.675,0.0483,0.0237,7.000000000000003e-06,0.102,0.569,99.04799999999999,207133.0
After Dark,Mr.Kitty,0.579,0.601,8.0,1.0,-10.492,0.0322,0.0673,0.414,0.0778,0.0392,140.019,257147.0
After Last Night (with Thundercat & Bootsy Collins),"Bruno Mars, Anderson .Paak, Silk Sonic, Thundercat, Bootsy Collins",0.6509999999999999,0.703,0.0,0.0,-8.958,0.0816,0.0297,0.0,0.0608,0.647,140.05100000000002,249444.0
After Party,Don Toliver,0.629,0.6920000000000001,5.0,1.0,-8.045,0.0376,0.00981,0.331,0.603,0.45299999999999996,162.94799999999995,167916.0
Afterglow,Ed Sheeran,0.6409999999999999,0.324,11.0,1.0,-5.851,0.0299,0.698,0.0,0.32799999999999996,0.273,110.184,185487.0
Afuera Está Lloviendo,Julión Álvarez y su Norteño Banda,0.7240000000000001,0.499,0.0,1.0,-5.041,0.0384,0.42200000000000004,0.0,0.381,0.615,127.98100000000001,179107.0
Agosto,Bad Bunny,0.8490000000000001,0.584,1.0,0.0,-8.195,0.115,0.0929,6.18e-06,0.4920000000000001,0.7240000000000001,115.01799999999999,139041.0
Agua (with J Balvin),"Tainy, J Balvin",0.76,0.6579999999999999,7.0,1.0,-5.275,0.275,0.162,0.0,0.195,0.565,100.20200000000001,157944.0
Agua de Jamaica,Maluma,0.664,0.665,10.0,1.0,-3.616,0.0879,0.12300000000000001,0.0,0.41100000000000003,0.726,173.96099999999996,176970.0
Aguacero,Bad Bunny,0.861,0.645,6.0,0.0,-6.96,0.0743,0.423,0.000592,0.349,0.6679999999999999,121.391,210989.0
Aguardiente,Christian Nodal,0.521,0.515,4.0,0.0,-4.945,0.0313,0.366,1.76e-06,0.27699999999999997,0.5329999999999999,173.924,142759.0
Ahora Te Puedes Marchar,Luis Miguel,0.78,0.877,6.0,0.0,-3.6830000000000003,0.0427,0.14800000000000002,2.36e-06,0.0627,0.909,133.263,191973.0
Ain't Shit,Doja Cat,0.855,0.488,3.0,1.0,-4.601,0.20800000000000002,0.506,0.0,0.34700000000000003,0.619,124.09700000000001,174253.0
Algo Mágico,Rauw Alejandro,0.6990000000000001,0.612,11.0,1.0,-4.355,0.0667,0.757,0.0,0.161,0.591,100.005,261603.0
Alguien Más,Andy Rivera,0.77,0.6559999999999999,9.0,1.0,-4.1560000000000015,0.166,0.039,0.0,0.272,0.9009999999999999,80.079,177370.0
Alien Blues,Vundabar,0.467,0.757,3.0,1.0,-5.093,0.033,0.0807,0.9079999999999999,0.0876,0.433,82.28200000000002,155933.0
All Eyes On Me,Bo Burnham,0.35200000000000004,0.424,6.0,1.0,-10.131,0.0394,0.733,2.3e-05,0.0664,0.141,127.04700000000001,302951.0
All Falls Down,"Kanye West, Syleena Johnson",0.657,0.7340000000000001,8.0,0.0,-4.832,0.484,0.149,0.0,0.139,0.434,91.03,223507.0
All For Us,"Labrinth, Zendaya",0.46,0.66,3.0,1.0,-6.642,0.0652,0.0108,0.000139,0.34,0.18,141.722,191710.0
All For Us - from the HBO Original Series Euphoria,"Labrinth, Zendaya",0.348,0.652,3.0,1.0,-7.145,0.0931,0.0165,0.000264,0.33,0.172,70.956,192987.0
All Girls Are The Same,Juice WRLD,0.6709999999999999,0.529,0.0,1.0,-7.226,0.307,0.0769,0.000335,0.0856,0.203,161.989,165820.0
All I Ask,Adele,0.591,0.28,4.0,1.0,-5.494,0.0283,0.889,0.0,0.124,0.348,141.916,271800.0
All I Know So Far,P!nk,0.578,0.639,4.0,1.0,-5.749,0.0374,0.0586,0.0,0.0944,0.29600000000000004,108.045,277413.0
"All I Want - From ""High School Musical: The Musical: The Series""","Olivia Rodrigo, Disney",0.376,0.43,0.0,0.0,-6.585,0.0328,0.0902,0.0,0.0912,0.129,77.59899999999998,177323.0
All I Want for Christmas Is You,Mariah Carey,0.336,0.627,7.0,1.0,-7.462999999999999,0.0384,0.16399999999999998,0.0,0.0708,0.35,150.273,241107.0
All I Want for Christmas Is You,Michael Bublé,0.503,0.465,8.0,0.0,-8.077,0.0274,0.42,0.0,0.10099999999999999,0.14300000000000002,141.793,171827.0
All Night Parking (with Erroll Garner) Interlude,Adele,0.7340000000000001,0.4970000000000001,8.0,1.0,-9.666,0.166,0.67,2.35e-05,0.19399999999999998,0.307,127.98899999999999,161829.0
All Of You,"Stephanie Beatriz, Olga Merediz, John Leguizamo, Adassa, Maluma, Encanto - Cast",0.515,0.467,11.0,1.0,-10.623,0.0494,0.633,0.0,0.107,0.34600000000000003,114.53200000000001,278440.0
All Too Well,Taylor Swift,0.602,0.609,0.0,1.0,-7.803,0.0243,0.0382,0.0002,0.127,0.337,93.06,327893.0
All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),Taylor Swift,0.631,0.518,0.0,1.0,-8.771,0.0303,0.27399999999999997,0.0,0.08800000000000001,0.205,93.023,613027.0
All Too Well (Taylor's Version),Taylor Swift,0.44,0.528,0.0,1.0,-7.809,0.0317,0.0171,0.00203,0.23399999999999999,0.132,185.972,329160.0
